            0     0.506453     0.322592            0            0     0.506453     0.322592
    0.0078125     0.502559     0.325223  5.15507e-05  3.31653e-05     0.506453     0.322592
     0.015625     0.498812     0.327698  0.000107204  6.63461e-05     0.506453     0.322592
    0.0234375     0.495215     0.330015  0.000164793  9.95277e-05     0.506453     0.322592
      0.03125      0.49176     0.332184  0.000226353  0.000132682     0.506453     0.322592
    0.0390625     0.488449     0.334203  0.000289698  0.000165818     0.506453     0.322592
     0.046875     0.485273     0.336082  0.000356881  0.000198884     0.506453     0.322592
    0.0546875     0.482236     0.337819  0.000425697  0.000231914     0.506453     0.322592
       0.0625     0.479328     0.339424  0.000498214  0.000264832     0.506453     0.322592
    0.0703125     0.476553     0.340895  0.000572208  0.000297696     0.506453     0.322592
     0.078125     0.473903     0.342242  0.000649765  0.000330407     0.506453     0.322592
    0.0859375     0.471379     0.343461  0.000728642  0.000363046     0.506453     0.322592
      0.09375     0.468975     0.344563   0.00081094  0.000395491     0.506453     0.322592
     0.101562     0.466692     0.345545  0.000894397  0.000427847     0.506453     0.322592
     0.109375     0.464524     0.346417  0.000981132  0.000459968     0.506453     0.322592
     0.117188     0.462472     0.347175   0.00106886  0.000491984     0.506453     0.322592
        0.125     0.460529     0.347829   0.00115972  0.000523724     0.506453     0.322592
     0.132812     0.458698     0.348376   0.00125142  0.000555344     0.506453     0.322592
     0.140625     0.456971     0.348825   0.00134609  0.000586648     0.506453     0.322592
     0.148438     0.455351     0.349173   0.00144143  0.000617814     0.506453     0.322592
      0.15625      0.45383      0.34943    0.0015396  0.000648626     0.506453     0.322592
     0.164062     0.452412     0.349591   0.00163826  0.000679286     0.506453     0.322592
     0.171875     0.451088     0.349666   0.00173959  0.000709552     0.506453     0.322592
     0.179688     0.449863     0.349651   0.00184125   0.00073965     0.506453     0.322592
       0.1875     0.448727     0.349556   0.00194542  0.000769316     0.506453     0.322592
     0.195312     0.447686     0.349376   0.00204973  0.000798799     0.506453     0.322592
     0.203125      0.44673      0.34912   0.00215641  0.000827812     0.506453     0.322592
     0.210938     0.445864     0.348786   0.00226304  0.000856628     0.506453     0.322592
      0.21875     0.445079      0.34838   0.00237188  0.000884936     0.506453     0.322592
     0.226562      0.44438       0.3479   0.00248049  0.000913032     0.506453     0.322592
