            0      0.50003     0.333361            0            0      0.50003     0.333361
         0.01     0.505004     0.329975  1.72935e-07  7.23295e-08   -0.0419431   -0.0279627
         0.02      0.51013      0.32676   2.5918e-09 -3.26117e-07   0.00646141   0.00430771
         0.03     0.515207     0.323442  5.22627e-07  2.18353e-07  -0.00121092 -0.000807298
         0.04     0.520434     0.320289  5.19617e-09 -6.48033e-07   0.00024928  0.000166191
         0.05     0.525616     0.317038  8.75794e-07  3.67089e-07 -5.42138e-05 -3.61434e-05
         0.06     0.530947     0.313946  7.56677e-09 -9.66141e-07  1.22227e-05  8.14866e-06
         0.07     0.536235     0.310761   1.2325e-06   5.1883e-07 -2.82659e-06 -1.88444e-06
         0.08     0.541671     0.307729  9.47363e-09  -1.2808e-06  6.66139e-07  4.44103e-07
         0.09     0.547068     0.304608  1.59282e-06  6.73906e-07 -1.59297e-07 -1.06201e-07
          0.1     0.552612     0.301635  1.07019e-08 -1.59232e-06  3.85387e-08  2.56931e-08
         0.11     0.558121     0.298577  1.95688e-06  8.32686e-07 -9.41235e-09 -6.27505e-09
         0.12     0.563775     0.295662  1.10509e-08 -1.90098e-06  2.31693e-09  1.54465e-09
         0.13     0.569396     0.292666  2.32477e-06   9.9558e-07 -5.74126e-10 -3.82759e-10
         0.14     0.575163     0.289807  1.03331e-08 -2.20702e-06  1.43075e-10  9.53856e-11
         0.15       0.5809     0.286871  2.69666e-06  1.16304e-06 -3.58303e-11 -2.38874e-11
         0.16     0.586781     0.284068  8.37383e-09 -2.51064e-06   9.0115e-12  6.00781e-12
         0.17     0.592635     0.281192   3.0727e-06  1.33555e-06   -2.275e-12  -1.5167e-12
         0.18     0.598634     0.278443  5.01044e-09   -2.812e-06  5.76262e-13  3.84184e-13
         0.19     0.604608     0.275625  3.45307e-06  1.51366e-06 -1.46406e-13 -9.76062e-14
          0.2     0.610726     0.272929  9.22743e-11 -3.11122e-06  3.72962e-14  2.48647e-14
         0.21     0.616823     0.270168  3.83797e-06  1.69795e-06 -9.52415e-15 -6.34958e-15
         0.22     0.623062     0.267524 -6.51958e-09 -3.40835e-06  2.43751e-15  1.62505e-15
         0.23     0.629284     0.264819  4.22762e-06  1.88905e-06 -6.25089e-16 -4.16736e-16
         0.24     0.635648     0.262227 -1.49521e-08 -3.70344e-06  1.60597e-16  1.07067e-16
         0.25     0.641997     0.259576  4.62225e-06  2.08767e-06 -4.13305e-17 -2.75543e-17
         0.26     0.648488     0.257034 -2.53204e-08 -3.99644e-06  1.06533e-17  7.10234e-18
         0.27     0.654967     0.254437  5.02214e-06  2.29454e-06 -2.74994e-18 -1.83334e-18
         0.28     0.661588     0.251945 -3.77267e-08 -4.28729e-06    7.108e-19  4.73878e-19
         0.29     0.668199       0.2494  5.42756e-06  2.51049e-06 -1.83956e-19  -1.2264e-19
          0.3     0.674952     0.246956 -5.22603e-08 -4.57584e-06  4.76637e-20  3.17765e-20
         0.31     0.681699     0.244463  5.83881e-06   2.7364e-06 -1.23633e-20  -8.2424e-21
         0.32     0.688586     0.242066 -6.89966e-08 -4.86188e-06  3.21015e-21  2.14015e-21
         0.33     0.695471     0.239623  6.25623e-06  2.97324e-06  -8.3432e-22 -5.56226e-22
         0.34     0.702496     0.237273 -8.79959e-08 -5.14514e-06  2.17036e-22  1.44694e-22
         0.35     0.709521      0.23488  6.68018e-06  3.22205e-06 -5.65067e-23  -3.7672e-23
         0.36     0.716687     0.232575 -1.09302e-07 -5.42526e-06  1.47237e-23  9.81605e-24
         0.37     0.723855      0.23023  7.11103e-06  3.48398e-06 -3.83942e-24 -2.55967e-24
         0.38     0.731164      0.22797 -1.32942e-07 -5.70181e-06   1.0019e-24   6.6795e-25
         0.39     0.738478     0.225672  7.54921e-06  3.76027e-06 -2.61626e-25 -1.74421e-25
          0.4     0.745934     0.223457 -1.58922e-07 -5.97424e-06  6.83626e-26  4.55761e-26
         0.41     0.753397     0.221205  7.99517e-06  4.05228e-06 -1.78741e-26 -1.19163e-26
         0.42     0.761002     0.219033 -1.87227e-07 -6.24193e-06  4.67609e-27  3.11747e-27
         0.43     0.768618     0.216827  8.44938e-06  4.36148e-06 -1.22401e-27 -8.16028e-28
         0.44     0.776375     0.214696 -2.17819e-07 -6.50412e-06  3.20568e-28  2.13717e-28
         0.45     0.784146     0.212535  8.91237e-06  4.68951e-06 -8.39995e-29 -5.60009e-29
         0.46     0.792059     0.210446 -2.50632e-07 -6.75993e-06  2.20214e-29  1.46812e-29
         0.47     0.799988     0.208328  9.38471e-06  5.03813e-06 -5.77583e-30 -3.85064e-30
         0.48     0.808059      0.20628 -2.85571e-07 -7.00831e-06  1.51558e-30  1.01041e-30
         0.49     0.816149     0.204205  9.86701e-06  5.40928e-06  -3.9786e-31 -2.65246e-31
          0.5     0.824383     0.202197 -3.22508e-07  -7.2481e-06  1.04486e-31  6.96592e-32
         0.51     0.832638     0.200164  1.03599e-05  5.80509e-06 -2.74512e-32 -1.83012e-32
         0.52     0.841036     0.198195 -3.61277e-07 -7.47793e-06  7.21486e-33  4.81002e-33
         0.53     0.849459     0.196203  1.08642e-05   6.2279e-06 -1.89694e-33 -1.26466e-33
         0.54     0.858026     0.194272 -4.01671e-07 -7.69622e-06  4.98921e-34  3.32622e-34
         0.55      0.86662     0.192321  1.13806e-05  6.68028e-06 -1.31268e-34 -8.75137e-35
         0.56      0.87536     0.190427 -4.43436e-07 -7.90121e-06  3.45482e-35  2.30327e-35
         0.57     0.884128     0.188515  1.19099e-05  7.16504e-06 -9.09557e-36 -6.06386e-36
